id;name;structure-id;structure-abbrev;structure-name;structure-color;strain;transgenic-line;gender;injection-coordinates;injection-volume;injection-structures;sum;num-voxels;selected;experiment_page_url
114472145;378-1175;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[8900, 4700, 10100];0.323306;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";13.69686;487744;false;http://connectivity.brain-map.org/projection/experiment/114472145
232311959;Rbp4-Cre_KL100-213;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Rbp4-Cre_KL100;F;[9900, 3700, 9600];0.145184;"[{""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";10.70925;487273;false;http://connectivity.brain-map.org/projection/experiment/232311959
142654100;378-1357;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[9600, 3800, 9800];0.128885;"[{""id""=>518, ""name""=>""Subiculum, ventral part"", ""abbreviation""=>""SUBv"", ""color""=>""4FC244""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";10.33096;485163;false;http://connectivity.brain-map.org/projection/experiment/142654100
146553971;378-1465;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[8100, 4900, 10200];0.195391;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";8.09525;487632;false;http://connectivity.brain-map.org/projection/experiment/146553971
126116848;378-1270;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[9000, 5500, 9700];0.28799;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";7.28266;489356;false;http://connectivity.brain-map.org/projection/experiment/126116848
127397469;378-1300;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[7800, 5300, 10300];0.234035;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>961, ""name""=>""Piriform area"", ""abbreviation""=>""PIR"", ""color""=>""6ACBBA""}]";6.42331;482360;false;http://connectivity.brain-map.org/projection/experiment/127397469
180297139;378-1819;918;ENTl;Entorhinal area, lateral part;32B825;C57BL/6J;;M;[9700, 4000, 10100];0.190211;"[{""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}]";6.07899;487171;false;http://connectivity.brain-map.org/projection/experiment/180297139
287952517;Cux2-IRES-Cre-3809;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Cux2-IRES-Cre;M;[8700, 4900, 10300];0.558514;"[{""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>1018, ""name""=>""Ventral auditory area"", ""abbreviation""=>""AUDv"", ""color""=>""019399""}]";3.75082;482289;false;http://connectivity.brain-map.org/projection/experiment/287952517
263974698;Cux2-IRES-Cre-242;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Cux2-IRES-Cre;F;[9600, 4600, 9800];0.34312;"[{""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}]";3.5741;488955;false;http://connectivity.brain-map.org/projection/experiment/263974698
287953223;Cux2-IRES-Cre-3812;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Cux2-IRES-Cre;M;[9800, 3900, 9200];0.391699;"[{""id""=>385, ""name""=>""Primary visual area"", ""abbreviation""=>""VISp"", ""color""=>""08858C""}, {""id""=>409, ""name""=>""Lateral visual area"", ""abbreviation""=>""VISl"", ""color""=>""08858C""}, {""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";3.06851;480482;false;http://connectivity.brain-map.org/projection/experiment/287953223
183225124;Grm2-Cre-108;918;ENTl;Entorhinal area, lateral part;32B825;unknown;Grm2-Cre_MR90;M;[8600, 5100, 10100];0.479794;"[{""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>922, ""name""=>""Perirhinal area"", ""abbreviation""=>""PERI"", ""color""=>""0E9684""}, {""id""=>1018, ""name""=>""Ventral auditory area"", ""abbreviation""=>""AUDv"", ""color""=>""019399""}]";2.86544;483948;false;http://connectivity.brain-map.org/projection/experiment/183225124
181859467;Cux2-CreERT2-151;918;ENTl;Entorhinal area, lateral part;32B825;B6.Cg;Cux2-CreERT2;F;[10100, 4100, 9100];0.312405;"[{""id""=>541, ""name""=>""Temporal association areas"", ""abbreviation""=>""TEa"", ""color""=>""15B0B3""}, {""id""=>895, ""name""=>""Ectorhinal area"", ""abbreviation""=>""ECT"", ""color""=>""0D9F91""}, {""id""=>918, ""name""=>""Entorhinal area, lateral part"", ""abbreviation""=>""ENTl"", ""color""=>""32B825""}, {""id""=>926, ""name""=>""Entorhinal area, medial part, dorsal zone"", ""abbreviation""=>""ENTm"", ""color""=>""32B825""}]";2.68019;483984;false;http://connectivity.brain-map.org/projection/experiment/181859467
