id	name	structure-id	structure-abbrev	structure-name	structure-color	strain	transgenic-line	gender	injection-coordinates	injection-volume	injection-structures	sum	num-voxels	selected	experiment_page_url
168616111	Chat-IRES-Cre-412	653	VI	Abducens nucleus	FFB3D9	B6;129	Chat-IRES-Cre	M	[10900, 5300, 6000]	0.001584	"[{""id""=>653, ""name""=>""Abducens nucleus"", ""abbreviation""=>""VI"", ""color""=>""FFB3D9""}]"	0.00051	8206	0	http://connectivity.brain-map.org/projection/experiment/168616111
272918345	378-1882	151	AOB	Accessory olfactory bulb	9DF0D2	C57BL/6J		M	[1700, 3500, 7000]	0.045581	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>507, ""name""=>""Main olfactory bulb"", ""abbreviation""=>""MOB"", ""color""=>""9AD2BD""}]"	0.00229	8206	0	http://connectivity.brain-map.org/projection/experiment/272918345
266563321	Gad2-IRES-Cre-1210	151	AOB	Accessory olfactory bulb	9DF0D2	B6.Cg	Gad2-IRES-Cre	M	[2200, 4100, 6900]	0.157276	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>159, ""name""=>""Anterior olfactory nucleus"", ""abbreviation""=>""AON"", ""color""=>""54BF94""}, {""id""=>723, ""name""=>""Orbital area, lateral part"", ""abbreviation""=>""ORBl"", ""color""=>""248A5E""}]"	0.00148	8206	0	http://connectivity.brain-map.org/projection/experiment/266563321
161178152	Syt17-Cre-56	151	AOB	Accessory olfactory bulb	9DF0D2	unknown	Syt17-Cre_NO14	F	[2000, 4100, 7000]	0.137986	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>159, ""name""=>""Anterior olfactory nucleus"", ""abbreviation""=>""AON"", ""color""=>""54BF94""}, {""id""=>507, ""name""=>""Main olfactory bulb"", ""abbreviation""=>""MOB"", ""color""=>""9AD2BD""}]"	0.00108	8206	0	http://connectivity.brain-map.org/projection/experiment/161178152
120812686	378-1222	151	AOB	Accessory olfactory bulb	9DF0D2	C57BL/6J		M	[2100, 3900, 6900]	0.189737	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>507, ""name""=>""Main olfactory bulb"", ""abbreviation""=>""MOB"", ""color""=>""9AD2BD""}, {""id""=>723, ""name""=>""Orbital area, lateral part"", ""abbreviation""=>""ORBl"", ""color""=>""248A5E""}, {""id""=>746, ""name""=>""Orbital area, ventrolateral part"", ""abbreviation""=>""ORBvl"", ""color""=>""248A5E""}]"	0.0009	8206	0	http://connectivity.brain-map.org/projection/experiment/120812686
267760731	Efr3a-Cre_NO108-31	151	AOB	Accessory olfactory bulb	9DF0D2	FVB/N-Crl:CD1(ICR)	Efr3a-Cre_NO108	M	[2200, 4000, 6900]	0.102487	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>159, ""name""=>""Anterior olfactory nucleus"", ""abbreviation""=>""AON"", ""color""=>""54BF94""}, {""id""=>723, ""name""=>""Orbital area, lateral part"", ""abbreviation""=>""ORBl"", ""color""=>""248A5E""}]"	0.00038	8206	0	http://connectivity.brain-map.org/projection/experiment/267760731
182686228	Cdhr1-Cre-154	151	AOB	Accessory olfactory bulb	9DF0D2	B6.Cg	Cdhr1-Cre_KG66	M	[2100, 4000, 7000]	0.006801	"[{""id""=>151, ""name""=>""Accessory olfactory bulb"", ""abbreviation""=>""AOB"", ""color""=>""9DF0D2""}, {""id""=>159, ""name""=>""Anterior olfactory nucleus"", ""abbreviation""=>""AON"", ""color""=>""54BF94""}]"	0.00029	8206	0	http://connectivity.brain-map.org/projection/experiment/182686228
299783689	Cux2-IRES-Cre-132732	95	AI	Agranular insular area	219866	B6.129	Cux2-IRES-Cre	F	[4100, 4600, 9000]	0.549749	"[{""id""=>95, ""name""=>""Agranular insular area"", ""abbreviation""=>""AI"", ""color""=>""219866""}, {""id""=>583, ""name""=>""Claustrum"", ""abbreviation""=>""CLA"", ""color""=>""8ADA87""}, {""id""=>677, ""name""=>""Visceral area"", ""abbreviation""=>""VISC"", ""color""=>""11AD83""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]"	0.49977	8206	0	http://connectivity.brain-map.org/projection/experiment/299783689
112596790	378-1006	95	AI	Agranular insular area	219866	C57BL/6J		M	[3800, 4300, 8600]	0.294591	"[{""id""=>95, ""name""=>""Agranular insular area"", ""abbreviation""=>""AI"", ""color""=>""219866""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]"	0.09275	8206	0	http://connectivity.brain-map.org/projection/experiment/112596790
296048512	Rbp4-Cre_KL100-128404	95	AI	Agranular insular area	219866	B6.Cg	Rbp4-Cre_KL100	M	[3600, 4500, 8200]	0.367829	"[{""id""=>95, ""name""=>""Agranular insular area"", ""abbreviation""=>""AI"", ""color""=>""219866""}, {""id""=>583, ""name""=>""Claustrum"", ""abbreviation""=>""CLA"", ""color""=>""8ADA87""}, {""id""=>1057, ""name""=>""Gustatory areas"", ""abbreviation""=>""GU"", ""color""=>""009C75""}]"	0.08935	8206	0	http://connectivity.brain-map.org/projection/experiment/296048512
